trial_number,value,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,reg_lambda,subsample
51,0.021577067298234158,0.7432869247452571,0.0012153459949164535,0.028349292425219504,13,8,4.641124315783575,0.8347462420960842
52,0.02004530038875588,0.7606010113346008,0.001007515965830585,0.029456071087205816,14,8,4.21528699099988,0.8406202261152499
53,0.029496539414042847,0.7722913338166395,0.001955551177185529,0.023542589433056416,15,9,4.03162276155183,0.7942729126750624
54,0.0252184389768671,0.6493165239718447,0.0013683167556922218,0.02633965759643836,14,6,3.6457458147327126,0.8504795399912575
55,0.045930083573472835,0.692015406811889,0.36770340187410244,0.020007929207119697,10,8,3.0580923930184403,0.8845808431812036
56,0.019031656432448925,0.7671790056150103,0.0046569186153384776,0.029616299617345264,28,7,2.6003415484372012,0.6451802679627691
57,0.03090037791815462,0.8161145475392829,0.0045638491638388635,0.0223743682238571,24,7,2.348853414527864,0.6247870416961393
58,0.024617632336421624,0.8475972341432867,0.016482606790493296,0.024893067646722115,28,6,2.6407098308584493,0.667731426399631
59,0.04638315439463528,0.7696761780823768,0.002269622253717692,0.01848569289734291,29,5,1.7793800681321685,0.6419475505332783
60,0.08278690005086521,0.7977564568018902,0.0010175966386264618,0.014556214400735597,19,7,2.2661496095379734,0.6483567941672953
61,0.018639344330709566,0.762338399738675,0.001345301592992374,0.029881257284711322,26,3,3.4409147726254794,0.8024712805560038
62,0.02175909862519413,0.7604234412956031,0.0028688476246326554,0.02725420070744132,27,3,3.411678954612854,0.7049138173636762
63,0.020762358620821778,0.704663696766239,0.0019033083445255212,0.027493958691710084,26,2,2.847101541841196,0.8022813328685714
64,0.408015977095906,0.7237732165336838,0.0012832874222156196,0.00515357318874297,29,2,3.654716711114311,0.7417568793220966
65,0.20185654064319195,0.7845083426904191,0.0037461136984693944,0.009111848690552414,27,4,2.5105588095834848,0.622224277361494
66,0.01845039749207703,0.8120124580433853,0.0010072577443088243,0.02998740693057302,30,3,4.141018583561093,0.7849530139217766
67,0.025975840037940942,0.8167576711833548,0.0023460158172519674,0.02408250209550644,30,3,3.057375217234473,0.7821348316934468
68,0.03372722915016305,0.7967925596589394,0.001289504072529141,0.021839736345776236,29,4,3.3940671593980842,0.6918098501635288
69,0.03597033052618642,0.8524834542256995,0.001811590458134237,0.01969309056516516,28,3,0.7593619661955672,0.7551775668160565
70,0.02514828142699888,0.7803250151425657,0.005208069393207598,0.02470405492275543,26,2,2.760785654949918,0.7183318385838102
71,0.019954922273838528,0.8685400707119463,0.0010219066844226843,0.028247203526103264,16,3,3.769832401872088,0.8157995285310335
72,0.020772327788065866,0.8614663949218025,0.0010033305855942627,0.027566550906463382,16,3,3.7341603398162224,0.7940276964733229
73,0.022848383819007827,0.8795596579328105,0.0013182238353669125,0.02575251223087731,30,3,3.1183244672939407,0.8173567857344484
74,0.020584764454924163,0.9046890708424242,0.041579143162629506,0.029502678227916412,12,4,4.0748006992978825,0.7742072561451343
75,0.027944757463153624,0.8385080775041298,0.0017937810989858563,0.02349339762901004,18,2,3.494791359859969,0.7625155603732996
76,0.03404535120510115,0.8093001649065142,0.002650241392769909,0.021137575610100965,28,1,2.6190412476985916,0.8616403791791954
77,0.021440559390364072,0.8951986861663863,0.001265838469010935,0.026861639352675635,15,5,3.299136020293991,0.8044184218630476
78,0.01858064564600936,0.7478831578234246,0.02937430051095377,0.02990381043192708,26,4,2.0277880650091102,0.7384386510851021
79,0.6070340142525162,0.7502329424630091,0.07213051238508941,0.002923194232406161,24,4,2.003697492234372,0.7346846003484411
80,0.023526225396242856,0.71190550680475,0.021369626682522114,0.02505025297385226,26,6,1.437423229185085,0.7177918305703204
81,0.018348478896474427,0.8255680237168997,0.001642523772822884,0.02817579930414055,25,3,1.6768276241967057,0.7479824375533307
82,0.018729619920490225,0.8258364605826684,0.008200626425196325,0.028212367332817224,25,2,2.0001512012156497,0.7476136503668565
83,0.017555685157588315,0.8424057784951986,0.016076574690230643,0.02994728960202971,25,2,1.5976116126987694,0.6982078037083137
84,0.7150031609044006,0.8249724123416949,0.02028987397444471,0.002029125059795476,25,2,1.7483978495232055,0.6939453397626583
85,0.017325441470740995,0.8442967863274495,0.01725063876524442,0.029984153094432166,23,2,1.5245386598419077,0.7462031225062778
86,0.0213209091684587,0.8437144096085532,0.02908137854120152,0.026175411307941418,23,1,1.5886985059937746,0.7454619107896501
87,0.018942819899052405,0.8259353656233586,0.011616380149746116,0.027857356911242026,25,2,1.5053817428031935,0.7358671088864962
