trial_number,value,colsample_bytree,learning_rate,max_depth,min_child_samples,reg_alpha,reg_lambda,subsample
147,0.15311101687820605,0.7774417418689065,0.007138579400886114,6,76,0.02528761160441497,1.7469702920811354,0.7531503800093062
148,0.16000786856698113,0.8254115272626096,0.005892218840104352,12,63,0.0019314212873278282,1.6029774066880444,0.7783245594970273
149,0.14831671859345175,0.7625624621994248,0.0075601917860656665,4,72,0.04583273010538133,1.5472845027000193,0.7656842332865749
150,0.15301010690332587,0.8056168649991166,0.0065687981580279395,5,65,0.01694986054957351,1.0955636440173455,0.7466341650233451
151,0.1482300035663955,0.8144141439161805,0.007164540394029165,4,66,0.002997444378472192,3.266910750049046,0.7565215319133664
152,0.14823010414892845,0.7916334519634831,0.006900727907129054,4,68,0.0028141009849251414,3.2436085569772977,0.7557870944380828
153,0.15336852471888265,0.8157577562584779,0.007075750124930739,5,67,0.0028003390474323313,3.2141497227131746,0.7573399817352956
154,0.15335544692453804,0.83963838687713,0.00799115765047732,4,60,0.0025679626290078905,3.579035976563794,0.7398325030364716
155,0.153664925352514,0.8283318487454692,0.007477957392582819,5,69,0.03608877349963248,3.3072703172728035,0.7473122466135854
156,0.15302848181265777,0.8073935651916383,0.006845700250839846,4,65,0.002147037085960954,1.8392574204364271,0.7256897891422028
157,0.1524228153770274,0.8222290412638739,0.00837912192339348,5,62,0.004055446173862185,0.9780836723039765,0.7747190875082169
158,0.15334627774382342,0.7711458903352364,0.006222194138911504,6,71,0.002930403831900303,2.078999810747789,0.7580554710699502
159,0.14811168727933827,0.7869120800257415,0.006537621990798172,4,67,0.030248501760287448,1.3946383479597573,0.7352918705430123
160,0.15983362439423457,0.7847214781496704,0.018726575196501543,18,66,0.0224614975506619,1.2779739675153703,0.7323367137163231
161,0.14832521607253582,0.7928418643770544,0.0065685441792367,4,68,0.030575206336106053,1.5025247825213777,0.751105283521334
162,0.1483180266866449,0.8025204168675969,0.007201964872993786,4,63,0.06243304079703033,1.308071827614408,0.7392594178109836
