trial_number,value,state,parameters.max_depth,parameters.learning_rate,parameters.subsample,parameters.colsample_bytree,parameters.gamma,parameters.reg_lambda,parameters.min_child_weight
73,0.3258046106584057,COMPLETE,8,0.022379325227641706,0.8582128932358949,0.9989295206905333,1.1350488650119415,2.0183281467215632,10
74,0.3258046106584057,COMPLETE,11,0.007402511257951853,0.6028001988569271,0.9834339456219563,0.5470276910588762,2.3019781600443223,6
75,0.3258046106584057,COMPLETE,26,0.002016143017333629,0.6200405434535586,0.8182203879109925,1.6909863209264662,1.4550396951020783,9
76,0.3258046106584057,COMPLETE,8,0.026414736314911525,0.9765379500006505,0.7948477072961764,0.0012680395874227124,1.986316964806783,8
77,0.3258046106584057,COMPLETE,13,0.003523459958048184,0.8240000186376946,0.8367313947687478,0.34068231649779696,0.832815886708328,1
78,0.3258046106584057,COMPLETE,17,0.024012916920029496,0.8887811316411331,0.8481254698424607,0.5735504938763224,4.036017294417975,9
79,0.3258046106584057,COMPLETE,4,0.002916094197139455,0.7188610780680558,0.6689346991765821,0.04332511990485357,3.026477593273084,5
80,0.3258046106584057,COMPLETE,7,0.0022350865482566704,0.7325646269347469,0.6906132629514735,0.9077585053390922,2.544249262830956,4
81,0.3258046106584057,COMPLETE,6,0.006058354475206198,0.6174265442150094,0.7076827709505357,0.026085854895705234,1.0705511385061386,10
82,0.3258046106584057,COMPLETE,9,0.004366885356709641,0.6784005760611137,0.777862996224241,0.033818274102896846,0.9059020388595839,10
83,0.3258046106584057,COMPLETE,5,0.0033058028996331237,0.6295307262983307,0.6459481263117375,0.018806180477825944,0.7433278015178657,9
84,0.3258046106584057,COMPLETE,19,0.0037610383746265806,0.6489915162281436,0.6321938747378031,1.442598944216974,0.9945117356954979,9
85,0.3258046106584057,COMPLETE,6,0.002666352492785197,0.923358017756038,0.7617845655009434,0.022471391377753083,0.8212395315252898,10
86,0.3258046106584057,COMPLETE,4,0.019147408127831826,0.6096529601606201,0.7273933826863191,0.0019464672656161837,1.229861254823365,2
87,0.3258046106584057,COMPLETE,28,0.003055529927296293,0.6000367469663099,0.6557318533644075,0.012849606192247214,1.408805039210105,6
88,0.3258046106584057,COMPLETE,5,0.02199206216861488,0.6974174503657193,0.6140593275358567,0.01851056378861083,1.581735395213852,7
89,0.3258046106584057,COMPLETE,8,0.0268564247630088,0.8480822837310511,0.804943458236137,0.00750244500259281,0.5303445013186662,10
90,0.3258046106584057,COMPLETE,26,0.020489150650609286,0.8728062017350711,0.7502584806923651,0.052123209381163806,1.1366974196350619,5
91,0.3258046106584057,COMPLETE,15,0.0051001334092639055,0.7775591206830045,0.6364698914342428,0.0027389073298155937,0.6658928514517743,10
92,0.3258046106584057,COMPLETE,13,0.0054825723588358515,0.7537346779085012,0.8580677574351636,0.4821852679629704,0.6194800350645343,10
93,0.3258046106584057,COMPLETE,24,0.004530107952889967,0.7895626219198468,0.8823222514383041,0.690814961789362,0.6920566502436637,9
94,0.3258046106584057,COMPLETE,17,0.004115124770168072,0.8182023466908797,0.6915523300703686,0.001148532399827796,0.9380333005726041,8
95,0.3258046106584057,COMPLETE,11,0.003410969798982409,0.8006547918553264,0.7342659542498292,0.31629149245275684,0.5896166031416745,10
96,0.3258046106584057,COMPLETE,16,0.029976024308976532,0.8312677131466267,0.6465267857584278,1.214692784805981,0.7790469023577379,6
97,0.3258046106584057,COMPLETE,28,0.012532188412082734,0.6839934593710326,0.600174226843646,0.02983098380853048,0.5041716403579316,9
98,0.3258046106584057,COMPLETE,6,0.010229066496035251,0.7404049665443365,0.6684042757245025,0.6680716361065026,3.371159347125833,1
99,0.3258046106584057,COMPLETE,10,0.00241304153105398,0.6644685276261401,0.8195361145849905,0.00561295858209132,0.7218399887876534,9
100,0.3258046106584057,COMPLETE,7,0.0038913388225574794,0.6399511303933894,0.6246972509715918,0.2137032056411405,1.3102565297089765,2
101,0.3258046106584057,COMPLETE,19,0.011251748660057877,0.9913410934735724,0.7115201471286977,0.001050058688092197,3.77292169552768,1
102,0.3258046106584057,COMPLETE,21,0.008390502412767203,0.765041229181203,0.9606557339937652,0.002174408281411443,4.659715403942526,3
103,0.3258046106584057,COMPLETE,14,0.014214728058116627,0.8630683824250737,0.9586763411471552,0.0015852984449910954,0.6354855718575168,1
104,0.3258046106584057,COMPLETE,18,0.01705108790539155,0.9688590696729387,0.9714810926639175,0.00131638531179448,1.237749015772756,2
105,0.3258046106584057,COMPLETE,20,0.009129826910541254,0.9068794474770842,0.9331289126648378,0.003883460809772805,1.7680004472271706,7
106,0.3258046106584057,COMPLETE,18,0.02523577999503831,0.9394703318270404,0.9853369550611045,0.0028842029696382,2.836715460848589,4
107,0.3258046106584057,COMPLETE,29,0.007673574516024979,0.6266706282633442,0.6123751724739092,0.0017689851720346667,0.8730870394199965,1
108,0.3258046106584057,COMPLETE,8,0.028021286673148023,0.8954482214759172,0.7700060884002721,0.06675919794739983,1.6903198072720806,10
109,0.3258046106584057,COMPLETE,15,0.00635097775672319,0.8520086980494507,0.7951383813026813,0.0024274444021652936,1.9146389755425035,5
110,0.3258046106584057,COMPLETE,16,0.005730273332268767,0.8050561118116241,0.6814800069007884,0.039824968800089885,0.9297745321997187,6
111,0.3258046106584057,COMPLETE,30,0.010092274578610023,0.8746418090345134,0.6067164531070572,0.019763930454782374,4.423006280598684,1
112,0.3258046106584057,COMPLETE,27,0.010805859724785868,0.7242263109567674,0.6308216532223038,0.21615843320772155,3.128290687558469,2
113,0.3258046106584057,COMPLETE,25,0.013088032395172393,0.7108628657714862,0.6989903508701515,0.11913837154343114,4.160701002129103,1
114,0.3258046106584057,COMPLETE,9,0.0027842022334173223,0.8311783974330456,0.6206001570829536,0.4439107652439445,3.5757544423522694,2
115,0.3258046106584057,COMPLETE,23,0.023362533953078805,0.6145533938098,0.6548192527128194,0.08524538169053628,2.1631836601161765,1
116,0.3258046106584057,COMPLETE,29,0.015899981434769478,0.8824279886269191,0.7857716320700125,1.9508109230662725,0.7918861560308795,1
117,0.3258046106584057,COMPLETE,5,0.003629892405614429,0.8394349885054508,0.8095046981858752,0.015328375697740301,3.9277145028489056,4
118,0.3258046106584057,COMPLETE,6,0.011552646497935382,0.7832563582836197,0.8261406808309021,0.024605788884248015,1.0349386175217659,7
119,0.3258046106584057,COMPLETE,7,0.007060291350334018,0.8668673472650545,0.9190298369547243,0.011329394944166545,2.6796824043052334,6
120,0.3258046106584057,COMPLETE,12,0.0021130503503734273,0.8552684991131256,0.8719004799093266,0.14362388421311154,1.5112446060418911,10
121,0.3258046106584057,COMPLETE,24,0.014308066517735044,0.9481855825637435,0.8414912146883966,0.8666611711089054,0.6668823628777373,3
122,0.3258046106584057,COMPLETE,25,0.012367727734008195,0.9231653348263321,0.9025729007693732,0.03422084868381245,3.4039022852707537,3
123,0.3258046106584057,COMPLETE,26,0.004792256573046432,0.9734703851080188,0.8906888936519947,0.003967520097114451,2.9260677705787366,3
124,0.3258046106584057,COMPLETE,22,0.004268372172076303,0.9568719251016008,0.8567632116305329,0.005082985339315257,2.307599479436768,5
125,0.3258046106584057,COMPLETE,10,0.01691587963379221,0.7005012266410666,0.8478071712429388,0.00907091441312446,2.428846431398563,1
126,0.3258046106584057,COMPLETE,21,0.018380558642235395,0.9799363409131366,0.8335143889801221,0.007168505653767541,1.9703208770411125,10
127,0.3258046106584057,COMPLETE,27,0.003217138331489403,0.9956182094430873,0.6070924534216411,0.0013298552973733228,2.056155680949112,2
128,0.3258046106584057,COMPLETE,23,0.009554209014960673,0.8801257811115335,0.6167381137959284,1.0482054151582842,0.5519608647506599,6
129,0.3258046106584057,COMPLETE,28,0.020003049975950066,0.7975287140418488,0.9479544238307601,1.4636752695484891,2.649506538815327,10
130,0.3258046106584057,COMPLETE,4,0.003956545836027796,0.9122408362711592,0.9738293715917117,0.04602293333599159,0.6044401831531664,9
