trial_number,value,batch_size,d_conv,d_model,d_state,dropout,expand,history_length,learning_rate,n_layers,weight_decay
83,0.32189310738342064,293,6,408,18,0.4072716721666418,4,113,0.0012958554713532308,9,0.0014855245971157273
84,0.33676514837202753,297,7,408,18,0.4857408503870806,4,175,0.0014507507663526701,9,0.0023312110849706387
85,0.354304546377251,264,6,383,20,0.4057878904001327,4,114,0.001308078958280167,9,0.001354768897974513
86,0.34454595814082073,298,6,415,19,0.42813565486648447,4,102,0.001242510384034328,8,0.001804045301028157
87,0.4070507159175564,233,5,482,15,0.3600231021679688,4,108,0.0011107930258857771,8,0.0007885991154951452
88,0.428920803820632,129,5,437,27,0.3407680729350376,4,94,0.0004641762533773229,9,0.0009243990475222957
89,0.3365804184853261,304,6,217,17,0.26965889690203415,4,118,0.0011465035939987151,10,0.002796762985548477
90,0.34725010385800414,293,7,373,13,0.45089768680909753,4,134,0.0012894054429276466,12,0.0014085801387995582
91,0.33254955842779427,350,4,340,16,0.29926070390157905,4,119,0.0013548604275120048,5,0.0002051527577444989
92,0.36498969414585686,282,4,269,11,0.38729692078325595,4,124,0.0015544061993693907,4,0.002008531533749171
93,0.4575207971091218,213,3,466,21,0.33205319232179936,2,113,0.0016756383817756976,6,0.00016367670925769687
94,0.3627439110640771,373,4,398,15,0.3127478135139296,2,130,0.0012072954983796816,5,0.00013165361137638487
95,0.3289308049516654,381,5,289,18,0.3534128916559271,3,157,0.0014788158444525826,11,0.0012096690938815412
96,0.3870716384741553,358,5,429,24,0.3760277520865769,3,156,0.0019168885343025816,11,0.0012246156220520781
97,0.3681660438689373,332,5,295,18,0.41390179886964834,4,149,0.0018204129548615108,10,0.0015736126795166
98,0.3424297343160704,342,5,230,33,0.3529856068156085,2,157,0.0014789382577373854,11,0.0009941084275835298
99,0.36560913588844585,321,6,242,44,0.3727562534615353,4,172,0.0010675653580543736,10,0.0010774990028226497
